// With the following params
/* Probability distributions for events */
var INCUBATION_MIN = 2;
var INCUBATION_MAX = 21;

// entirely made up
var COMM_CONTACT_PERIOD_MIN = 0.5;
var COMM_CONTACT_PERIOD_MAX = 5;
var COMM_TRANS_PR = 0.10;

// entirely made up
var HCWASSIGNED = 2; // assign 2 hcw to a patient
var HOSP_TRANS_PR = 0.05;
var HOSP_CONTACT_PERIOD = 2;

// FROM PAPER
var MEAN_TIME_TO_HOSP = 3.24;
var STDEV_TIME_TO_HOSP = 2;

var STDEV = 5.0;
// FROM PAPER
// note that this is from infection to recovery.
var MEAN_TIME_TO_RECOVER = (15+20)/2;
var STDEV_TIME_TO_RECOVER = STDEV;

var MEAN_TIME_TO_DEATH = 13.35;
var STDEV_TIME_TO_DEATH = STDEV;

// note that this is from hosp to recovery.
var MEAN_TIME_TO_HOSPRECOVER = 15.88;
var STDEV_TIME_TO_HOSPRECOVER = STDEV;

var MEAN_TIME_TO_HOSPDEATH = (6.26+10.07)/2;
var STDEV_TIME_TO_HOSPDEATH = STDEV;


[705,2,3,228,3,659,0,0,0,10,0,30;
707,3,1,238,2,649,0,0,0,6,0,34;
499,12,6,262,15,806,0,0,0,6,0,34;
387,1,0,323,2,887,0,0,0,14,0,26;
555,19,13,233,30,750,0,0,0,10,0,30;
545,0,0,277,0,778,0,0,0,4,0,36;
408,8,5,298,11,870,0,0,0,9,0,31;
896,5,6,168,9,516,0,0,0,16,0,24;
456,9,7,261,25,842,0,0,0,9,0,31;
962,3,5,177,7,446,0,0,0,12,0,28;
645,0,0,243,0,712,0,0,0,9,0,31;
450,2,0,298,3,847,0,0,0,16,0,24;
597,0,0,270,0,733,0,0,0,9,0,31;
1599,0,0,1,0,0,19,0,0,5,0,16;
1596,0,0,3,0,1,26,0,0,1,0,13;
354,0,1,328,5,912,0,0,0,6,0,34;
1587,0,0,1,0,12,0,0,0,5,0,35;
445,0,0,306,0,849,0,0,0,7,0,33;
891,0,0,163,0,546,0,0,0,12,0,28;
1062,0,0,140,0,398,0,0,0,12,0,28;
1598,0,0,0,0,2,21,0,0,5,0,14;
375,6,3,312,5,899,0,0,0,11,0,29;
629,0,0,235,3,733,0,0,0,12,0,28;
573,4,4,245,9,765,0,0,0,9,0,31;
622,8,4,229,12,725,0,0,0,12,0,28;
1233,0,0,89,0,278,0,0,0,5,0,35;
553,1,4,255,3,784,0,0,0,7,0,33;
1152,13,4,103,17,311,0,0,0,11,0,29;
488,5,0,285,12,810,0,0,0,7,0,33;
1293,0,0,69,0,238,0,0,0,5,0,35;
782,12,3,222,15,566,0,0,0,4,0,36;
742,20,12,210,28,588,0,0,0,10,0,30;
1599,0,0,1,0,0,21,0,0,3,0,16;
1598,0,0,1,0,1,29,0,0,4,0,7;
1598,0,0,0,0,2,38,0,0,0,0,2;
1593,0,0,0,0,7,21,0,0,3,0,16;
1596,0,0,3,0,1,31,0,0,1,0,8;
426,8,2,310,10,844,0,0,0,11,0,29;
478,13,4,270,15,820,0,0,0,6,0,34;
495,8,6,274,18,799,0,0,0,7,0,33;
1591,0,0,1,0,8,18,0,0,5,0,17;
418,7,0,289,12,874,0,0,0,10,0,30;
1599,0,0,0,0,1,40,0,0,0,0,0;
757,3,3,208,5,624,0,0,0,9,0,31;
639,0,0,271,0,690,0,0,0,12,0,28;
1537,0,0,22,0,41,0,0,0,12,0,28;
913,0,0,172,0,515,0,0,0,8,0,32;
1536,0,0,9,0,55,0,0,0,11,0,29;
552,1,0,262,0,785,0,0,0,14,0,26;
755,9,5,198,12,621,0,0,0,11,0,29;
333,3,0,288,4,972,0,0,0,7,0,33;
614,17,11,230,18,710,0,0,0,9,0,31;
1209,3,1,87,2,298,0,0,0,9,0,31;
474,2,0,247,6,871,0,0,0,12,0,28;
466,19,11,262,29,813,0,0,0,11,0,29;
338,0,0,336,0,926,0,0,0,8,0,32;
991,0,0,139,0,470,0,0,0,8,0,32;
485,1,3,245,9,857,0,0,0,6,0,34;
1592,0,0,1,0,7,13,0,0,8,0,19;
652,15,8,246,15,664,0,0,0,8,0,32;
566,0,0,263,0,771,0,0,0,11,0,29;
871,0,0,174,0,555,0,0,0,9,0,31;
